Obesity_Prevalence,Policy_Count,Instrument_Diversity,Fitted_Value,Residual,Studentized_Residual,Cooks_Distance
38.0,15,5,37.77924404755769,0.2207559524423104,0.07911535324158368,0.0011829457591696283
31.3,14,8,33.41291904265963,-2.1129190426596303,-0.7056736531831319,0.05989679459836525
36.3,13,5,37.05565082442231,-0.755650824422311,-0.2429964576661948,0.005149007485196055
37.8,11,6,34.99721480351013,2.8027851964898645,0.8548335180682259,0.032853520536251485
35.1,10,6,34.63541819194245,0.46458180805755234,0.14150697443700483,0.0008802040681775078
35.8,9,4,36.94330717592833,-1.143307175928335,-0.34030715467603956,0.003122634149555989
32.6,8,6,33.91182496880707,-1.3118249688070662,-0.4085710219369308,0.010207638233185216
38.8,6,3,37.19276013900204,1.6072398609979572,0.4700105112726993,0.0031902603177564313
33.4,6,4,35.85791734122525,-2.4579173412252544,-0.7220920573993782,0.009206565212477898
33.7,6,4,35.85791734122525,-2.15791734122525,-0.6339574348120177,0.007096311916860858
48.5,6,1,39.86244573455562,8.637554265444379,2.7773101201985795,0.671949001374358
33.9,5,5,34.161277931880775,-0.26127793188077675,-0.0818749864522672,0.0004424676598710834
34.4,5,1,39.50064912298793,-5.100649122987932,-1.5879167496468454,0.15331909364264892
41.7,4,3,36.46916691586666,5.230833084133344,1.5349635228443705,0.03970671089384285
30.9,4,2,37.80400971364345,-6.904009713643454,-2.0294425227079107,0.07438775223380216
42.2,4,4,35.13432411808987,7.065675881910131,2.139362925291554,0.18075161555046523
35.5,3,3,36.10737030429897,-0.6073703042989678,-0.18060715163220997,0.0008564516661689717
35.7,3,3,36.10737030429897,-0.4073703042989649,-0.12113531036704606,0.0003852782428616755
34.8,3,2,37.442213102075755,-2.6422131020757575,-0.7768381754367651,0.010984887695396702
39.0,3,2,37.442213102075755,1.5577868979242453,0.45800557515669743,0.0038183526095806877
36.0,2,1,38.41525928828486,-2.415259288284858,-0.7216597995920028,0.015482936309144145
41.1,2,1,38.41525928828486,2.6847407117151434,0.8021786536006623,0.019130684192893176
37.7,2,2,37.08041649050807,0.6195835094919317,0.1836002014424337,0.0008011818783817767
38.8,1,1,38.05346267671717,0.7465373232828298,0.22362762663417082,0.0015793980256107634
35.9,1,1,38.05346267671717,-2.1534626767171687,-0.6450765854838342,0.013142053730409093
39.5,1,1,38.05346267671717,1.4465373232828327,0.4333148502488626,0.005929906254823703
35.4,1,1,38.05346267671717,-2.6534626767171687,-0.794853173780042,0.019953289642666294
